,AppID,Name,Peak CCU,Required age,Price,DLC count,Supported languages,Metacritic score,Positive,Negative,sum_column,Average playtime forever,Median playtime forever,Developers,Publishers,Categories,Genres,Tags,Rank
183,388090,Five Nights at Freddy's 4,22,0,7.99,0,['English'],51,9527,744,10271,106,63,Scott Cawthon,Scott Cawthon,Single-player,"Action,Indie,Strategy","Horror,Survival Horror,Singleplayer,Robots,First-Person,Dark,Difficult,Point & Click,Survival,Psychological Horror,Strategy,Indie,Story Rich,Atmospheric,Action,Family Friendly,Simulation,Animation & Modeling,Illuminati,Jump Scare",587
1497,352720,The Universim,208,0,29.99,1,"['English', 'French', 'German', 'Spanish - Spain', 'Portuguese - Brazil', 'Russian', 'Korean', 'Simplified Chinese', 'Traditional Chinese', 'Italian']",0,5677,1210,6887,2680,1140,Crytivo,Crytivo,"Single-player,Steam Achievements,Steam Trading Cards,Steam Cloud","Indie,Simulation,Strategy,Early Access","Early Access,God Game,Colony Sim,City Builder,Sandbox,Building,Casual,Survival,Management,Space,Strategy,Simulation,Procedural Generation,Colorful,Sci-fi,Resource Management,Aliens,Singleplayer,Open World,Real-Time with Pause",588
439,916440,Anno 1800,329,0,0.0,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Polish', 'Russian', 'Simplified Chinese', 'Traditional Chinese']",81,3638,739,4377,5091,6839,Blue Byte,Ubisoft,"Single-player,Multi-player,PvP,Online PvP","Simulation,Strategy","Strategy,Simulation,City Builder,Economy,Multiplayer,Resource Management,Exploration,Sandbox,RTS,Choose Your Own Adventure,Political,Story Rich,Politics,Choices Matter,Multiple Endings,Singleplayer,Historical,Co-op",589
2045,1202200,Paleo Pines,165,0,29.99,0,"['English', 'French', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Russian', 'Italian', 'Korean', 'Simplified Chinese']",0,836,88,924,0,0,Italic Pig,Modus Games,"Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Adventure,Casual,Indie,RPG,Simulation","Farming Sim,Dinosaurs,Exploration,Relaxing,Indie,Casual,Simulation,Cute,Singleplayer,Colorful,Open World,Creature Collector,Life Sim,3D,Agriculture,Family Friendly,Funny,Character Customization,Controller,Adventure",590
467,282800,100% Orange Juice,252,0,1.74,34,"['English', 'Japanese', 'Simplified Chinese', 'Traditional Chinese', 'Spanish - Spain', 'Korean', 'Portuguese - Brazil', 'Spanish - Latin America', 'Russian']",0,21261,1598,22859,1866,177,Orange_Juice,Fruitbat Factory,"Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Steam Achievements,Steam Trading Cards,Steam Workshop,Partial Controller Support,Steam Cloud,Valve Anti-Cheat enabled,Stats,Steam Leaderboards","Indie,Strategy","Anime,Board Game,Cute,Multiplayer,Strategy,Card Game,Turn-Based,Indie,Casual,Funny,Great Soundtrack,Co-op,Female Protagonist,Singleplayer,Difficult,Memes,2D,Family Friendly,Comedy,Survival Horror",591
557,304240,Resident Evil,429,17,4.99,0,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Simplified Chinese', 'Traditional Chinese']",82,15590,1251,16841,466,200,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud,Steam Leaderboards","Action,Adventure","Survival Horror,Zombies,Horror,Classic,Remake,Atmospheric,Singleplayer,Puzzle,Survival,Action,Adventure,Third Person,Cult Classic,Female Protagonist,Story Rich,Difficult,Gore,Shooter,Great Soundtrack,Third-Person Shooter",592
1316,266410,iRacing,161,0,9.99,0,['English'],79,2096,334,2430,499,34,"iRacing.com Motorsport Simulations,iRacing","iRacing.com Motorsport Simulations,iRacing","Single-player,Multi-player,MMO,PvP,Online PvP,VR Support,Partial Controller Support","Massively Multiplayer,Racing,Simulation,Sports","Racing,Automobile Sim,Simulation,Sports,Massively Multiplayer,VR,Driving,Realistic,Multiplayer,Singleplayer,e-sports,First-Person,Controller,Open World",593
1798,1811990,Wildfrost,3455,0,19.99,1,"['English', 'Japanese', 'Korean', 'Simplified Chinese', 'Traditional Chinese']",80,2572,935,3507,0,0,"Deadpan Games,Gaziter",Chucklefish,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Indie,Strategy","Card Battler,Difficult,Roguelike Deckbuilder,Card Game,Turn-Based Tactics,Rogue-lite,Rogue-like,Deckbuilding,Singleplayer,Turn-Based,Perma Death,Unforgiving,Replay Value,Procedural Generation,Turn-Based Strategy,Strategy,Colorful,Controller,Fantasy,Base-Building",594
460,1609230,Scarlet Hollow,6,0,19.99,2,['English'],0,569,4,573,604,604,Black Tabby Games,Black Tabby Games,"Single-player,Steam Achievements,Full controller support,Steam Cloud","Adventure,Casual,Indie,RPG,Early Access","Early Access,Choices Matter,Story Rich,Horror,RPG,Point & Click,Psychological Horror,Choose Your Own Adventure,Interactive Fiction,Multiple Endings,Lore-Rich,Visual Novel,Lovecraftian,Female Protagonist,Walking Simulator,LGBTQ+,Dark Humor,Well-Written,Cozy,Mystery",595
1079,701160,Kingdom Two Crowns,736,0,19.99,4,"['English', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Korean', 'Russian', 'French', 'Simplified Chinese', 'Traditional Chinese', 'Portuguese - Brazil']",0,6244,819,7063,1195,724,"Stumpy🐙Squid,Fury Studios,Coatsink",Raw Fury,"Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Steam Achievements,Full controller support,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Remote Play on TV,Remote Play Together","Adventure,Indie,Simulation,Strategy","Strategy,Pixel Graphics,Adventure,Indie,Simulation,Colony Sim,Co-op,Base-Building,Multiplayer,Local Co-Op,Survival,Tower Defense,2D,Side Scroller,Online Co-Op,Great Soundtrack,Fantasy,Medieval,Atmospheric,Singleplayer",596
347,8500,EVE Online,4318,0,0.0,27,"['English', 'German', 'Russian', 'French', 'Korean', 'Japanese']",88,20720,7059,27779,3328,116,CCP,CCP,"Multi-player,MMO,PvP,Online PvP,Co-op,Online Co-op,Steam Trading Cards","Action,Free to Play,Massively Multiplayer,RPG,Strategy","Space,Massively Multiplayer,Free to Play,Sci-fi,Sandbox,RPG,MMORPG,Open World,Strategy,Action,Multiplayer,PvP,Economy,Space Sim,Spaceships,Simulation,Difficult,PvE,Capitalism,Tactical",597
128,418370,Resident Evil 7 Biohazard,909,17,9.99,6,"['English', 'French', 'Italian', 'German', 'Spanish - Spain', 'Japanese', 'Portuguese - Brazil', 'Arabic', 'Korean', 'Russian', 'Simplified Chinese', 'Traditional Chinese', 'Polish', 'Thai']",83,58270,3235,61505,820,552,"CAPCOM Co., Ltd.","CAPCOM Co., Ltd.","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Cloud","Action,Adventure","Horror,Survival Horror,First-Person,Singleplayer,Atmospheric,Zombies,Gore,Psychological Horror,Action,Violent,Survival,Adventure,Story Rich,Puzzle,FPS,Multiplayer,VR,Exploration,Shooter,Classic",598
